hour,station,flow,direction,lat,lon
5,松山機場,5,in,25.063,121.551996
6,松山機場,67,in,25.063,121.551996
7,松山機場,310,in,25.063,121.551996
8,松山機場,474,in,25.063,121.551996
9,松山機場,337,in,25.063,121.551996
10,松山機場,250,in,25.063,121.551996
11,松山機場,221,in,25.063,121.551996
12,松山機場,279,in,25.063,121.551996
13,松山機場,315,in,25.063,121.551996
14,松山機場,318,in,25.063,121.551996
15,松山機場,300,in,25.063,121.551996
16,松山機場,311,in,25.063,121.551996
17,松山機場,649,in,25.063,121.551996
18,松山機場,792,in,25.063,121.551996
19,松山機場,368,in,25.063,121.551996
20,松山機場,289,in,25.063,121.551996
21,松山機場,177,in,25.063,121.551996
22,松山機場,127,in,25.063,121.551996
23,松山機場,30,in,25.063,121.551996
0,松山機場,6,in,25.063,121.551996
1,松山機場,0,in,25.063,121.551996
5,中山國中,31,in,25.060849,121.544227
6,中山國中,420,in,25.060849,121.544227
7,中山國中,1229,in,25.060849,121.544227
8,中山國中,1812,in,25.060849,121.544227
9,中山國中,869,in,25.060849,121.544227
10,中山國中,539,in,25.060849,121.544227
11,中山國中,557,in,25.060849,121.544227
12,中山國中,586,in,25.060849,121.544227
13,中山國中,619,in,25.060849,121.544227
14,中山國中,573,in,25.060849,121.544227
15,中山國中,574,in,25.060849,121.544227
16,中山國中,641,in,25.060849,121.544227
17,中山國中,1473,in,25.060849,121.544227
18,中山國中,2681,in,25.060849,121.544227
19,中山國中,1438,in,25.060849,121.544227
20,中山國中,906,in,25.060849,121.544227
21,中山國中,874,in,25.060849,121.544227
22,中山國中,509,in,25.060849,121.544227
23,中山國中,104,in,25.060849,121.544227
0,中山國中,35,in,25.060849,121.544227
1,中山國中,0,in,25.060849,121.544227
5,南京復興,40,in,25.052319,121.544011
6,南京復興,371,in,25.052319,121.544011
7,南京復興,1055,in,25.052319,121.544011
8,南京復興,1633,in,25.052319,121.544011
9,南京復興,1081,in,25.052319,121.544011
10,南京復興,869,in,25.052319,121.544011
11,南京復興,997,in,25.052319,121.544011
12,南京復興,1239,in,25.052319,121.544011
13,南京復興,1298,in,25.052319,121.544011
14,南京復興,1456,in,25.052319,121.544011
15,南京復興,1395,in,25.052319,121.544011
16,南京復興,1785,in,25.052319,121.544011
17,南京復興,4003,in,25.052319,121.544011
18,南京復興,7499,in,25.052319,121.544011
19,南京復興,3845,in,25.052319,121.544011
20,南京復興,2413,in,25.052319,121.544011
21,南京復興,2218,in,25.052319,121.544011
22,南京復興,1283,in,25.052319,121.544011
23,南京復興,438,in,25.052319,121.544011
0,南京復興,87,in,25.052319,121.544011
1,南京復興,0,in,25.052319,121.544011
5,忠孝復興,34,in,25.041629,121.543767
6,忠孝復興,407,in,25.041629,121.543767
7,忠孝復興,1123,in,25.041629,121.543767
8,忠孝復興,1488,in,25.041629,121.543767
9,忠孝復興,1013,in,25.041629,121.543767
10,忠孝復興,932,in,25.041629,121.543767
11,忠孝復興,1134,in,25.041629,121.543767
12,忠孝復興,1534,in,25.041629,121.543767
13,忠孝復興,1979,in,25.041629,121.543767
14,忠孝復興,2306,in,25.041629,121.543767
15,忠孝復興,2632,in,25.041629,121.543767
16,忠孝復興,2988,in,25.041629,121.543767
17,忠孝復興,4193,in,25.041629,121.543767
18,忠孝復興,5565,in,25.041629,121.543767
19,忠孝復興,4370,in,25.041629,121.543767
20,忠孝復興,4035,in,25.041629,121.543767
21,忠孝復興,4963,in,25.041629,121.543767
22,忠孝復興,2461,in,25.041629,121.543767
23,忠孝復興,775,in,25.041629,121.543767
0,忠孝復興,165,in,25.041629,121.543767
1,忠孝復興,1,in,25.041629,121.543767
5,大安,36,in,25.032943,121.543551
6,大安,318,in,25.032943,121.543551
7,大安,841,in,25.032943,121.543551
8,大安,1508,in,25.032943,121.543551
9,大安,760,in,25.032943,121.543551
10,大安,559,in,25.032943,121.543551
11,大安,622,in,25.032943,121.543551
12,大安,684,in,25.032943,121.543551
13,大安,715,in,25.032943,121.543551
14,大安,615,in,25.032943,121.543551
15,大安,768,in,25.032943,121.543551
16,大安,2239,in,25.032943,121.543551
17,大安,3977,in,25.032943,121.543551
18,大安,3959,in,25.032943,121.543551
19,大安,2002,in,25.032943,121.543551
20,大安,1394,in,25.032943,121.543551
21,大安,2417,in,25.032943,121.543551
22,大安,1287,in,25.032943,121.543551
23,大安,207,in,25.032943,121.543551
0,大安,55,in,25.032943,121.543551
1,大安,0,in,25.032943,121.543551
5,科技大樓,30,in,25.026125,121.543437
6,科技大樓,317,in,25.026125,121.543437
7,科技大樓,994,in,25.026125,121.543437
8,科技大樓,1770,in,25.026125,121.543437
9,科技大樓,752,in,25.026125,121.543437
10,科技大樓,410,in,25.026125,121.543437
11,科技大樓,443,in,25.026125,121.543437
12,科技大樓,583,in,25.026125,121.543437
13,科技大樓,516,in,25.026125,121.543437
14,科技大樓,463,in,25.026125,121.543437
15,科技大樓,611,in,25.026125,121.543437
16,科技大樓,745,in,25.026125,121.543437
17,科技大樓,1788,in,25.026125,121.543437
18,科技大樓,2076,in,25.026125,121.543437
19,科技大樓,1126,in,25.026125,121.543437
20,科技大樓,806,in,25.026125,121.543437
21,科技大樓,864,in,25.026125,121.543437
22,科技大樓,720,in,25.026125,121.543437
23,科技大樓,150,in,25.026125,121.543437
0,科技大樓,19,in,25.026125,121.543437
1,科技大樓,0,in,25.026125,121.543437
5,六張犁,29,in,25.023777,121.553115
6,六張犁,403,in,25.023777,121.553115
7,六張犁,1347,in,25.023777,121.553115
8,六張犁,1757,in,25.023777,121.553115
9,六張犁,773,in,25.023777,121.553115
10,六張犁,443,in,25.023777,121.553115
11,六張犁,469,in,25.023777,121.553115
12,六張犁,450,in,25.023777,121.553115
13,六張犁,411,in,25.023777,121.553115
14,六張犁,340,in,25.023777,121.553115
15,六張犁,355,in,25.023777,121.553115
16,六張犁,403,in,25.023777,121.553115
17,六張犁,1058,in,25.023777,121.553115
18,六張犁,1371,in,25.023777,121.553115
19,六張犁,741,in,25.023777,121.553115
20,六張犁,487,in,25.023777,121.553115
21,六張犁,453,in,25.023777,121.553115
22,六張犁,286,in,25.023777,121.553115
23,六張犁,115,in,25.023777,121.553115
0,六張犁,17,in,25.023777,121.553115
1,六張犁,0,in,25.023777,121.553115
5,麟光,26,in,25.018535,121.558791
6,麟光,241,in,25.018535,121.558791
7,麟光,700,in,25.018535,121.558791
8,麟光,919,in,25.018535,121.558791
9,麟光,390,in,25.018535,121.558791
10,麟光,197,in,25.018535,121.558791
11,麟光,166,in,25.018535,121.558791
12,麟光,157,in,25.018535,121.558791
13,麟光,149,in,25.018535,121.558791
14,麟光,123,in,25.018535,121.558791
15,麟光,127,in,25.018535,121.558791
16,麟光,111,in,25.018535,121.558791
17,麟光,207,in,25.018535,121.558791
18,麟光,231,in,25.018535,121.558791
19,麟光,140,in,25.018535,121.558791
20,麟光,120,in,25.018535,121.558791
21,麟光,102,in,25.018535,121.558791
22,麟光,49,in,25.018535,121.558791
23,麟光,25,in,25.018535,121.558791
0,麟光,1,in,25.018535,121.558791
1,麟光,0,in,25.018535,121.558791
5,辛亥,32,in,25.005475,121.557107
6,辛亥,180,in,25.005475,121.557107
7,辛亥,568,in,25.005475,121.557107
8,辛亥,831,in,25.005475,121.557107
9,辛亥,315,in,25.005475,121.557107
10,辛亥,139,in,25.005475,121.557107
11,辛亥,106,in,25.005475,121.557107
12,辛亥,107,in,25.005475,121.557107
13,辛亥,95,in,25.005475,121.557107
14,辛亥,117,in,25.005475,121.557107
15,辛亥,68,in,25.005475,121.557107
16,辛亥,113,in,25.005475,121.557107
17,辛亥,138,in,25.005475,121.557107
18,辛亥,121,in,25.005475,121.557107
19,辛亥,55,in,25.005475,121.557107
20,辛亥,38,in,25.005475,121.557107
21,辛亥,42,in,25.005475,121.557107
22,辛亥,23,in,25.005475,121.557107
23,辛亥,11,in,25.005475,121.557107
0,辛亥,7,in,25.005475,121.557107
1,辛亥,0,in,25.005475,121.557107
5,萬芳醫院,48,in,24.999386,121.558152
6,萬芳醫院,542,in,24.999386,121.558152
7,萬芳醫院,1708,in,24.999386,121.558152
8,萬芳醫院,2580,in,24.999386,121.558152
9,萬芳醫院,975,in,24.999386,121.558152
10,萬芳醫院,598,in,24.999386,121.558152
11,萬芳醫院,601,in,24.999386,121.558152
12,萬芳醫院,668,in,24.999386,121.558152
13,萬芳醫院,599,in,24.999386,121.558152
